feature,var_imp,mutual_info,pzeros,pnull,bfs,lasso,boruta,rfe,rand_var
var59,0.0,0.0012430444842614907,0.02360160490913382,14.774604673117778,to_keep,to_remove,to_remove,to_remove,to_keep
var60,0.0,0.010476702962343376,2.478168515459051,45.621902289355674,to_keep,to_remove,to_remove,to_remove,to_keep
var61,0.0,0.0,0.0,2.4545669105499144,to_remove,to_remove,to_remove,to_remove,to_keep
var62,0.0008489442734732215,0.007090823091556064,0.02360160490913382,0.0,to_remove,to_remove,to_remove,to_remove,to_keep
var63,0.0,0.0005893139809654002,1.5577059240028324,0.0,to_remove,to_keep,to_keep,to_remove,to_keep
var64,4.0081213995846025e-05,0.0,0.0,0.0,to_remove,to_remove,to_remove,to_remove,to_keep
var65,0.0,0.0,0.0,85.88624026433797,to_keep,to_remove,to_remove,to_remove,to_remove
var66,0.0,0.0,2.4545669105499175,85.88624026433797,to_keep,to_remove,to_remove,to_remove,to_remove
var67,0.0,0.0,0.0,4.05947604437101,to_keep,to_remove,to_remove,to_remove,to_keep
var68,0.0,0.0004198665503092336,0.0,0.30682086381872864,to_remove,to_keep,to_remove,to_remove,to_keep
var1_var7,0.01752865228154673,0.048425433686133834,3.1862166627330657,0.0,to_remove,to_keep,to_keep,to_remove,to_keep
var1_var20,0.004691777307456444,0.038112600743101854,3.1862166627330657,0.0,to_remove,to_keep,to_keep,to_remove,to_keep
var7_var8,0.02127404252574585,0.09209878845081976,2.950200613641728,0.0,to_keep,to_remove,to_keep,to_keep,to_keep
var7_var20,0.04182254038479,0.048299863849816216,0.04720320981826764,0.0,to_keep,to_keep,to_keep,to_keep,to_keep
var7_var23,0.06004396961345211,0.043384761207429845,0.0,0.0,to_keep,to_keep,to_keep,to_keep,to_keep
var7_var28,0.02585139882017204,0.04280503058830254,2.8557941940051923,0.0,to_keep,to_keep,to_keep,to_keep,to_keep
var7_var29,0.04167630906524075,0.04669494285130105,1.0148690110927543,0.0,to_keep,to_keep,to_keep,to_keep,to_keep
var7_var39,0.009810482143330296,0.04076190028629978,0.4720320981826764,0.0,to_keep,to_remove,to_keep,to_keep,to_keep
var1_var7_var8,0.00771902754462769,0.0876344699060283,11.777200849657776,0.0,to_remove,to_remove,to_keep,to_remove,to_keep
var1_var7_var14,0.0014296939986002677,0.04661156192810534,9.086617890016521,0.0,to_keep,to_remove,to_keep,to_remove,to_keep
var1_var7_var20,0.009665952442719306,0.0551714920074684,4.838329006372433,0.0,to_keep,to_remove,to_keep,to_keep,to_keep
